Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BOERSMA, Phil ",Midfielder,13+2,3,0,4+1,1,0,1+1,0,0
,"BROWNBILL, Derek ",Forward,1,0,0,0,0,0,0,0,0
,"CALLAGHAN, Ian ",Winger,42,0,0,9,0,0,10,3,0
,"CLEMENCE, Ray ",Goalkeeper,42,0,0,9,0,0,10,0,0
,"CORMACK, Peter ",Midfielder,40+2,9,0,8,1,0,7,1,0
,"EVANS, Roy ",Full Back,2,0,0,0,0,0,0,0,0
,"HALL, Brian ",Midfielder,20+2,4,0,7+1,2,0,3+1,1,0
,"HEIGHWAY, Steve ",Winger,35+1,5,0,6,2,0,10,1,0
,"HUGHES, Emlyn ",Central Defender,42,2,0,9,0,0,10,0,0
,"KEEGAN, Kevin ",Forward,42,12,3,9,6,0,10,1,0
,"LAWLER, Chris ",Full Back,18,2,0,0,0,0,7,2,0
,"LINDSAY, Alec ",Full Back,36,4,4,9,0,0,9,0,0
,"LLOYD, Larry ",Central Defender,27,1,0,3,0,0,10,0,0
,"MCCLATCHEY, Derek ",Forward,0,0,0,0,0,0,0,0,0
,"MCDONALD, Ian ",Midfielder,0,0,0,0,0,0,0,0,0
,"MCLAUGHLIN, John ",Midfielder,1,0,0,0,0,0,1,0,0
,"RYLANDS, Dave ",Central Defender,0,0,0,1,0,0,0,0,0
,"SMITH, Tommy ",Central Defender,34,1,0,7,0,0,8,0,0
,"SPIRING, Peter ",Midfielder,0,0,0,0,0,0,0,0,0
,"STORTON, Trevor ",Central Defender,1,0,0,1,0,0,0,0,0
,"THOMPSON, Max ",Central Defender,1,0,0,0,0,0,0,0,0
,"THOMPSON, Phil ",Central Defender,35,2,0,9,0,0,6,0,0
,"TOSHACK, John ",Forward,19,5,0,6,3,0,5,3,0
,"WADDLE, Alan ",Forward,11,1,0,2,0,0,3,0,0
