-- League --	--- FA Cup ---	---- Other ----

1977/78
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
AYLOTT, Trevor 	Forward	10+1	2	0	1	0	0	0	0	0
										
BONETTI, Peter 	Goalkeeper	31	0	0	4	0	0	3	0	0
										
BRITTON, Ian 	Midfielder	40	1	1	4	0	0	3	0	0
										
COOKE, Charlie 	Winger	6	0	0	1	0	0	0	0	0
										
DROY, Micky 	Central Defender	35	1	0	3	1	0	3	0	0
										
FINNIESTON, Steve 	Forward	18+2	3	0	2+2	1	0	3	2	0
										
FROST, Lee 	Forward	1	0	0	0	0	0	0	0	0
										
GARNER, Bill 	Forward	15+3	5	0	1	0	0	2+1	0	0
										
HARRIS, Ron 	Central Defender	37	1	0	4	0	0	3+1	0	0
										
HAY, David 	Central Defender	7	0	0	0	0	0	0	0	0
										
LANGLEY, Tommy 	Forward	39+2	11	0	4	2	0	3	1	0
										
LETHEREN, Glan 	Goalkeeper	0	0	0	0	0	0	0	0	0
										
LEWINGTON, Ray 	Midfielder	20+4	2	0	2	0	0	3	0	0
										
LOCKE, Gary 	Full Back	18	0	0	3	0	0	3	0	0
										
PHILLIPS, John 	Goalkeeper	11	0	0	0	0	0	1+1	0	0
										
SPARROW, John 	Full Back	12+3	0	0	1	0	0	3	0	0
										
STANLEY, Garry 	Midfielder	11	1	0	0	0	0	3	0	0
										
SWAIN, Kenny 	Full Back	35+1	4	1	2	1	0	3	0	0
										
WALKER, Clive 	Winger	21+2	7	0	4	3	0	0	0	0
										
WHITE, Dean 	Midfielder	0	0	0	0	0	0	0	0	0
										
WICKS, Steve 	Central Defender	41	0	0	2	1	0	3	0	0
										
WILKINS, Graham 	Full Back	21	0	0	3	0	0	1	0	0
										
WILKINS, Ray 	Midfielder	33	7	0	3	1	0	4	1	0
										
WILKINS, Steve 	Midfielder	0	0	0	0	0	0	0	0	0
