Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ABBOTT, Peter ",Forward,0,0,0,0,0,0,0,0,0
,"ANDERSON, Trevor ",Winger,2+5,1,0,0,0,0,2+1,0,0
,"BEST, George ",Forward,19,4,2,0,0,0,4,2,1
,"BUCHAN, Martin ",Central Defender,42,0,0,1,0,0,7,0,0
,"CHARLTON, Bobby ",Midfielder,34+2,6,2,1,0,0,7,3,0
,"DALY, Gerry ",Midfielder,0,0,0,0,0,0,2,0,0
,"DAVIES, Wyn ",Forward,15+1,4,0,1,0,0,0,0,0
,"DONALD, Ian ",Full Back,4,0,0,0,0,0,1,0,0
,"DUNNE, Tony ",Full Back,24,0,0,0+1,0,0,3,0,0
,"EDWARDS, Paul ",Central Defender,1,0,0,0,0,0,0,0,0
,"FITZPATRICK, John ",Midfielder,5,0,0,0,0,0,1,0,0
,"FLETCHER, Peter ",Forward,0+2,0,0,0,0,0,0+4,1,0
,"FORSYTH, Alex ",Full Back,8,0,0,1,0,0,2,0,0
,"GRAHAM, George ",Midfielder,18,1,0,1,0,0,3,0,0
,"HOLTON, Jim ",Central Defender,15,3,0,0,0,0,3,1,0
,"JAMES, Steve ",Central Defender,22,0,0,0,0,0,6,0,0
,"JONES, Paul ",Midfielder,0,0,0,0,0,0,0+1,0,0
,"KIDD, Brian ",Forward,17+5,4,0,1,0,0,4,0,0
,"LAW, Denis ",Forward,9+2,1,0,1,0,0,3,2,0
,"MACARI, Lou ",Midfielder,16,5,0,0,0,0,3,0,0
,"MACDOUGALL, Ted ",Forward,18,5,0,0,0,0,0,0,0
,"MARTIN, Mick ",Midfielder,14+2,2,0,0,0,0,3,1,0
,"MCGIVERN, Francis ",Forward,0,0,0,0,0,0,0+1,0,0
,"MCILROY, Sammy ",Midfielder,4+6,0,0,0,0,0,0+3,1,0
,"MORGAN, Willie ",Winger,39,3,0,1,0,0,8,1,0
,"MORTON, Roy ",Midfielder,0,0,0,0,0,0,0,0,0
,"O'NEIL, Tommy ",Midfielder,16,0,0,0,0,0,1,0,0
,"OLNEY, Pat ",Forward,0,0,0,0,0,0,0+1,1,0
,"RIMMER, Jimmy ",Goalkeeper,4,0,0,0,0,0,2,0,0
,"SADLER, David ",Central Defender,19,0,0,1,0,0,3,0,0
,"SIDEBOTTOM, Arnie ",Central Defender,2,0,0,0,0,0,1,0,0
,"STEPNEY, Alex ",Goalkeeper,38,0,0,1,0,0,6,0,0
,"STOREY-MOORE, Ian ",Winger,26,5,0,0,0,0,5,2,0
,"WATSON, Willie ",Full Back,3,0,0,0,0,0,1,0,0
,"YOUNG, Tony ",Full Back,28+2,0,0,1,0,0,7,0,0
