Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARHAM, Mark ",Winger,14,1,0,5,0,0,4,0,0
,"BENSTEAD, Graham ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"BERTSCHIN, Keith ",Forward,5,2,0,0,0,0,0,0,0
,"BRUCE, Steve ",Central Defender,39,1,0,5,1,0,9,3,0
,"CHANNON, Mick ",Forward,30+1,8,1,5,0,0,8,3,0
,"CLAYTON, Paul ",Forward,4+1,0,0,0,0,0,1,0,0
,"CORRIGAN, Joe ",Goalkeeper,3,0,0,0,0,0,1,0,0
,"DEEHAN, John ",Forward,40,13,2,3,0,0,9,5,0
,"DEVINE, John ",Full Back,20+1,0,0,3,0,0,4,0,0
,"DONOWA, Louie ",Winger,33+1,7,0,1+1,1,0,8,3,0
,"DOWNS, Greg ",Full Back,19+1,0,0,3,0,0,4,0,0
,"FAIRCLOUGH, David ",Forward,1+1,0,0,0,0,0,0,0,0
,"FARRINGTON, Mark ",Forward,10+2,2,0,3,0,0,1,0,0
,"GOBLE, Steve ",Winger,0,0,0,0,0,0,0,0,0
,"GORDON, Dale ",Winger,21+2,3,0,0,0,0,4,0,0
,"GOSS, Jerry ",Midfielder,1+4,0,0,1,0,0,0,0,0
,"HARTFORD, Asa ",Midfielder,28,2,0,4,0,0,8,2,0
,"HAYLOCK, Paul ",Full Back,41,1,0,5,1,0,8,0,0
,"HOWARD, Mark ",Winger,0,0,0,0,0,0,0,0,0
,"KINNAIRD, Paul ",Winger,0,0,0,0,0,0,0,0,0
,"MENDHAM, Peter ",Midfielder,36,4,0,5,1,0,9,1,0
,"RIGBY, Jon ",Forward,4+1,0,0,0,0,0,0,0,0
,"ROSARIO, Robert ",Forward,4,1,0,0,0,0,0,0,0
,"ROWELL, Gary ",Winger,2+4,1,0,0,0,0,0,0,0
,"SPEARING, Tony ",Full Back,0,0,0,1,0,0,0,0,0
,"VAN WIJK, Dennis ",Full Back,29+4,0,0,4,0,0,5+1,0,0
,"WATSON, Dave ",Central Defender,39,0,0,2,0,0,8,1,0
,"WEBSTER, Simon ",Central Defender,0,0,0,0,0,0,0,0,0
,"WOODS, Chris ",Goalkeeper,38,0,0,5,0,0,8,0,0
