Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BLADES, Paul ",Central Defender,38,1,0,3,0,0,6,0,0
,"CALLAGHAN, Nigel ",Winger,18,2,1,3,1,0,3,0,0
,"CHIEDOZIE, John ",Winger,2,0,0,0,0,0,0,0,0
,"CROSS, Steve ",Midfielder,19,0,0,2,0,0,4,0,0
,"FORSYTH, Mike ",Full Back,38,0,0,3,0,0,6,0,0
,"GEE, Phil ",Forward,12,1,0,2,0,0,1,0,0
,"GODDARD, Paul ",Forward,31,7,0,2,0,0,6,0,0
,"GOULD, Jonathan ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"GREEN, Scott ",Full Back,0,0,0,0,0,0,0,0,0
,"HEBBERD, Trevor ",Midfielder,37,5,0,3,1,0,6,2,0
,"HINDMARCH, Rob ",Central Defender,25,0,0,3,0,0,2,0,0
,"MCMINN, Ted ",Winger,32,4,0,3,1,0,6,0,0
,"MICKLEWHITE, Gary ",Winger,26,3,0,2,1,0,3,2,0
,"PATTERSON, Mark ",Full Back,1,0,0,0,0,0,1,0,0
,"PENNEY, David ",Midfielder,9,0,0,0,0,0,2,1,0
,"PICKERING, Nick ",Midfielder,8,0,0,0,0,0,2,0,0
,"RAMAGE, Craig ",Midfielder,0,0,0,0,0,0,0,0,0
,"SAGE, Mel ",Full Back,16,1,0,0,0,0,4,0,0
,"SAUNDERS, Dean ",Forward,30,14,2,3,0,0,3,1,0
,"SHILTON, Peter ",Goalkeeper,38,0,0,3,0,0,6,0,0
,"WILLIAMS, Geraint ",Midfielder,37,1,0,3,0,0,6,0,0
,"WRIGHT, Mark ",Central Defender,33,1,0,2,0,0,5,0,0
