Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Malcolm ",Forward,12,3,1,0,0,0,2,0,0
,"BOWEN, Mark ",Full Back,38,7,0,4,0,0,5,0,0
,"BUTTERWORTH, Ian ",Central Defender,22,0,0,4,0,0,5,0,0
,"CONEY, Dean ",Forward,9,0,0,0,0,0,0,0,0
,"COOK, Paul ",Midfielder,2,0,0,0,0,0,0,0,0
,"CROOK, Ian ",Midfielder,35,0,0,4,0,0,5,1,0
,"CULVERHOUSE, Ian ",Full Back,32,0,0,4,0,0,1,0,0
,"FLECK, Robert ",Forward,27,7,2,4,2,0,4,3,0
,"FLYNN, Mike ",Central Defender,0,0,0,0,0,0,0,0,0
,"FOX, Ruel ",Winger,7,3,0,0,0,0,0,0,0
,"GORDON, Dale ",Winger,26,3,0,4,1,0,5,2,0
,"GOSS, Jerry ",Midfielder,7,0,0,0,0,0,0,0,0
,"GUNN, Bryan ",Goalkeeper,37,0,0,4,0,0,5,0,0
,"HEALD, Greg ",Central Defender,0,0,0,0,0,0,0,0,0
,"LINIGHAN, Andy ",Central Defender,37,2,0,4,0,0,5,0,0
,"MORTENSEN, Henrik ",Forward,15,0,0,0,0,0,1,1,0
,"PENNOCK, Adrian ",Central Defender,1,0,0,0,0,0,0,0,0
,"PHILLIPS, David ",Midfielder,38,4,0,4,0,0,5,1,0
,"POWER, Lee ",Forward,1,0,0,0,0,0,0,0,0
,"ROSARIO, Robert ",Forward,31,5,0,4,1,0,5,1,0
,"SHERWOOD, Tim ",Midfielder,27,3,0,0,0,0,5,1,0
,"SMITH, Dave ",Midfielder,1,0,0,0,0,0,0,0,0
,"TANNER, Nicky ",Central Defender,6,0,0,0,0,0,0,0,0
,"THEODOSIOU, Andy ",Central Defender,0,0,0,0,0,0,0,0,0
,"TOWNSEND, Andy ",Midfielder,35,3,2,4,0,0,5,0,0
,"WALTON, Mark ",Goalkeeper,1,0,0,0,0,0,0,0,0
