Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Gary ",Forward,0,0,0,0,0,0,1,0,0
,"BRYANT, Steve ",Full Back,15+1,1,0,3,0,0,1,0,0
,"BURNS, Kenny ",Central Defender,39,8,0,6,2,0,7,3,0
,"CALDERWOOD, Jimmy ",Full Back,25,2,0,1,0,0,4,1,0
,"CAMPBELL, Alan ",Midfielder,28,1,0,1+1,0,0,6,1,0
,"CLARKE, Dennis ",Central Defender,3,0,0,1,0,0,0,0,0
,"EMMANUEL, Gary ",Midfielder,9,1,0,4,0,0,0+1,0,0
,"FRANCIS, Trevor ",Forward,23,13,4,2,0,0,3,1,0
,"GALLAGHER, Joe ",Central Defender,38,1,0,6,1,0,6,1,0
,"HATTON, Bob ",Forward,41,14,0,5,2,0,7,2,0
,"HENDRIE, Paul ",Midfielder,9+2,1,0,3,0,0,4+1,0,0
,"HOPE, Bobby ",Midfielder,0,0,0,0,0,0,0+2,0,0
,"HYND, Roger ",Central Defender,6+6,0,0,1,0,0,3,0,0
,"KELLY, Mike ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"KENDALL, Howard ",Midfielder,39,4,1,6,1,0,7,0,0
,"LATCHFORD, Dave ",Goalkeeper,39,0,0,6,0,0,8,0,0
,"MARTIN, Ray ",Full Back,21+1,0,0,0,0,0,5,0,0
,"MORTON, Roy ",Midfielder,3,0,0,0,0,0,2,0,0
,"PAGE, Malcolm ",Full Back,28,0,0,6,0,0,3,0,0
,"PENDREY, Garry ",Full Back,27+3,1,0,5,0,0,7+1,0,0
,"PHILLIPS, Steve ",Forward,1+1,0,0,0,0,0,2,0,0
,"ROBERTS, John ",Central Defender,7+1,0,0,2,0,0,3,0,0
,"SBRAGIA, Ricky ",Central Defender,1,0,0,0,0,0,1+1,0,0
,"SMITH, Ian ",Forward,0+2,0,0,0,0,0,0,0,0
,"SPRAKE, Gary ",Goalkeeper,2,0,0,0,0,0,0+2,0,0
,"STYLES, Archie ",Full Back,23,2,0,2,0,0,3,0,0
,"TAYLOR, Gordon ",Winger,34+1,3,0,6,0,0,5+1,1,0
,"WANT, Tony ",Full Back,0+2,0,0,0,0,0,0,0,0
