Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BEGLIN, Jim ",Full Back,34,1,0,7,0,0,12,0,0
,"CURRY, Sean ",Forward,0,0,0,0,0,0,0,0,0
,"DALGLISH, Kenny ",Forward,21,3,0,6,1,0,4,3,0
,"GILLESPIE, Gary ",Central Defender,14,3,1,5,0,0,5,0,0
,"GROBBELAAR, Bruce ",Goalkeeper,42,0,0,8,0,0,13,0,0
,"HANSEN, Alan ",Central Defender,41,0,0,8,0,0,11,0,0
,"HOOPER, Mike ",Goalkeeper,0,0,0,0,0,0,0,0,0
,"JOHNSTON, Craig ",Midfielder,41,7,0,7,1,0,12,2,0
,"KENNEDY, Alan ",Full Back,8,0,0,0,0,0,0,0,0
,"LAWRENSON, Mark ",Central Defender,38,3,0,7,1,0,13,1,0
,"LEE, Sammy ",Midfielder,15,0,0,3,0,0,8,0,0
,"MACDONALD, Kevin ",Midfielder,17,1,0,2,1,0,6,3,0
,"MCMAHON, Steve ",Midfielder,23,6,0,4,1,0,9,3,0
,"MOLBY, Jan ",Midfielder,39,14,6,8,3,2,11,4,2
,"NEAL, Phil ",Full Back,13,1,1,0,0,0,3,0,0
,"NICOL, Steve ",Midfielder,34,4,0,4,0,0,9,0,0
,"RUSH, Ian ",Forward,40,22,0,8,6,0,8,5,0
,"SEAGRAVES, Mark ",Central Defender,0,0,0,1,0,0,1,0,0
,"TOALE, Ian ",Full Back,0,0,0,0,0,0,0,0,0
,"WALSH, Paul ",Forward,20,11,0,2,1,0,10,6,0
,"WARK, John ",Midfielder,9,3,0,4,2,0,5,1,0
,"WHELAN, Ronnie ",Midfielder,39,10,0,7,1,0,11,3,0
