Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALEKSIC, Milija ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"ARCHIBALD, Steve ",Forward,27,6,0,5,1,0,13,2,0
,"ARDILES, Ossie ",Midfielder,26,2,0,5,0,0,15,2,0
,"BROOKE, Garry ",Midfielder,16,4,1,2,0,0,0,0,0
,"CLEMENCE, Ray ",Goalkeeper,38,0,0,7,0,0,17,0,0
,"CORBETT, Pat ",Central Defender,4,1,0,0,0,0,0,0,0
,"CROOK, Ian ",Midfielder,4,0,0,0,0,0,0,0,0
,"CROOKS, Garth ",Forward,27,13,0,7,3,0,12,2,0
,"DICK, Ally ",Winger,1,0,0,0,0,0,0,0,0
,"FALCO, Mark ",Forward,21,5,0,3,1,0,10,5,0
,"GALVIN, Tony ",Winger,32,3,0,7,0,0,17,1,0
,"GIBSON, Terry ",Forward,1,0,0,0,0,0,0,0,0
,"HAZARD, Micky ",Midfielder,28,5,0,5,1,0,12,4,0
,"HODDLE, Glenn ",Midfielder,34,10,5,7,3,1,17,2,0
,"HUGHTON, Chris ",Full Back,37,2,0,7,0,0,17,1,0
,"JONES, Chris ",Forward,7,0,0,0,0,0,1,0,0
,"LACY, John ",Central Defender,12,0,0,0,0,0,1,0,0
,"MAZZON, Giorgio ",Central Defender,0,0,0,0,0,0,1,0,0
,"MILLER, Paul ",Central Defender,35,0,0,7,0,0,16,1,0
,"O'REILLY, Gary ",Central Defender,5,0,0,0,0,0,0,0,0
,"PARKS, Tony ",Goalkeeper,2,0,0,0,0,0,0,0,0
,"PERRYMAN, Steve ",Central Defender,42,1,0,7,0,0,17,0,0
,"PRICE, Paul ",Central Defender,21,0,0,5,0,0,7,0,0
,"ROBERTS, Graham ",Central Defender,37,6,0,6,0,0,13,1,0
,"SMITH, Gordon ",Full Back,2,0,0,0,0,0,1,0,0
,"VILLA, Ricky ",Midfielder,27,8,0,2,0,0,10,1,0
,"WEBSTER, Simon ",Central Defender,0,0,0,0,0,0,0,0,0
,"WILKINS, Paul ",Forward,0,0,0,0,0,0,0,0,0
