Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ARENTOFT, Ben ",Midfielder,22+4,0,0,1,0,0,4+1,0,0
,"BURTON, Ollie ",Central Defender,29+1,0,0,0,0,0,6+1,0,0
,"CLARK, Frank ",Full Back,31,0,0,1,0,0,8,0,0
,"COWAN, John ",Midfielder,3+1,0,0,0,0,0,0,0,0
,"CRAGGS, John ",Full Back,13,0,0,0,0,0,3,0,0
,"CRAIG, David ",Full Back,26,1,0,1,0,0,6,0,0
,"DAVIES, Wyn ",Forward,40,9,0,1,0,0,9,2,0
,"DUFFY, Alan ",Midfielder,1+2,0,0,0,0,0,0,0,0
,"DYSON, Keith ",Forward,19+1,10,0,1,0,0,6,2,0
,"ELLIOTT, Dave ",Midfielder,6+1,1,0,0,0,0,0+1,0,0
,"FOGGON, Alan ",Winger,22+1,5,0,0,0,0,5+1,0,0
,"FORD, David ",Forward,11+1,1,0,1,0,0,1,0,0
,"GIBB, Tommy ",Midfielder,42,1,0,1,0,0,9,0,0
,"GUTHRIE, Ron ",Full Back,14+1,1,0,0,0,0,3+1,0,0
,"HINDSON, Gordon ",Winger,1,0,0,0,0,0,0,0,0
,"HUNTER, Bob ",Winger,0,0,0,0,0,0,0,0,0
,"MCFAUL, Iam ",Goalkeeper,42,0,0,1,0,0,9,0,0
,"MCNAMEE, John ",Central Defender,13+1,1,0,1,0,0,3,0,0
,"MONCUR, Bobby ",Central Defender,40,0,0,1,0,0,9,0,0
,"ROBSON, Bryan 'Pop' ",Forward,42,22,5,1,0,0,9,3,0
,"SCOTT, Jim ",Winger,12+1,1,0,0+1,0,0,3+1,1,0
,"SINCLAIR, Jackie ",Winger,6,0,0,0,0,0,0,0,0
,"SMITH, Jim ",Midfielder,21+1,3,0,0,0,0,5,0,0
,"SUTTON, Jimmy ",Midfielder,0,0,0,0,0,0,0,0,0
,"THOMSON, Jimmy ",Midfielder,4+1,0,0,0,0,0,0,0,0
,"YOUNG, David ",Central Defender,2,0,0,0,0,0,1+1,0,0
