-- League --	--- FA Cup ---	---- Other ----

1971/72
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BIRCHENALL, Alan 	Midfielder	29	4	0	3	0	0	3	0	0
										
BROWN, Ally 	Forward	27+3	7	0	3	0	0	1	0	0
										
CARLIN, Willie 	Midfielder	1	0	0	0	0	0	0	0	0
										
CROSS, Graham 	Central Defender	39	1	0	3	0	0	6	0	0
										
FARRINGTON, John 	Winger	15+1	2	0	3	2	0	3+3	1	0
										
FERN, Rodney 	Forward	29+7	3	0	0	0	0	2+3	0	0
										
GLOVER, Len 	Winger	35+2	5	0	3	1	0	5	1	0
										
JAYES, Carl 	Goalkeeper	0	0	0	1	0	0	0	0	0
										
KELLARD, Bobby 	Midfielder	9	1	0	0	0	0	2	0	0
										
LEE, Bob 	Forward	0+1	0	0	0	0	0	0	0	0
										
MANLEY, Malcolm 	Central Defender	23+3	0	0	0+1	0	0	5+1	0	0
										
MATTHEWS, Paul 	Midfielder	0	0	0	0	0	0	0+1	0	0
										
MUNRO, Malcolm 	Central Defender	1+1	0	0	0	0	0	0	0	0
										
NISH, David 	Full Back	42	3	0	3	0	0	6	2	0
										
PARTRIDGE, Malcolm 	Forward	8+2	1	0	0	0	0	5	1	0
										
SAMMELS, Jon 	Midfielder	40	5	1	3	0	0	6	3	0
										
SHILTON, Peter 	Goalkeeper	37	0	0	2	0	0	3	0	0
										
SJOBERG, John 	Central Defender	26	1	0	3	0	0	3+2	0	0
										
TOMLIN, Dave 	Winger	9+1	1	0	0	0	0	1	0	0
										
WALLINGTON, Mark 	Goalkeeper	5	0	0	0	0	0	3	0	0
										
WELLER, Keith 	Winger	32	5	0	3	0	0	4	4	0
										
WHITWORTH, Steve 	Full Back	42	0	0	3	0	0	5	1	0
										
WOOLLETT, Alan 	Central Defender	13	0	0	0	0	0	2	0	0
										
YATES, Steve 	Full Back	0	0	0	0	0	0	1	0	0s
