-- League --	--- FA Cup ---	---- Other ----

1989/90
Position	App	Gls	Pen	App	Gls	Pen	App	Gls	Pen

										
BIRCH, Paul 	Midfielder	6+6	0	0	1+2	2	0	2+1	1	0
										
BLAKE, Mark 	Midfielder	6+3	0	0	0	0	0	0+1	0	0
										
BUTLER, Lee 	Goalkeeper	0	0	0	0	0	0	1	0	0
										
CALLAGHAN, Nigel 	Winger	7+1	0	0	0	0	0	1+1	0	0
										
CASCARINO, Tony 	Forward	10	2	0	0	0	0	0	0	0
										
COMYN, Andy 	Central Defender	3+1	0	0	0	0	0	0+1	0	0
										
COWANS, Gordon 	Midfielder	34	4	0	5	0	0	8	0	0
										
DALEY, Tony 	Winger	31+1	6	0	4	2	0	7+1	0	0
										
GAGE, Kevin 	Full Back	22	3	0	5	0	0	8	0	0
										
GALLACHER, Bernard 	Full Back	6+1	0	0	1	0	0	2	0	0
										
GRAY, Stuart 	Full Back	26+3	0	0	1+1	2	0	6+1	3	0
										
HEATH, Adrian 	Forward	8+1	0	0	0+1	0	0	1+1	0	0
										
JONES, David 	Winger	0	0	0	0	0	0	0	0	0
										
MCGRATH, Paul 	Central Defender	35	1	0	5	0	0	7	0	0
										
MOONEY, Tommy 	Forward	0	0	0	0	0	0	0	0	0
										
MOUNTFIELD, Derek 	Central Defender	32	4	0	4	1	0	9	3	0
										
NIELSEN, Kent 	Central Defender	34+2	2	0	4	0	0	7+1	0	0
										
OLNEY, Ian 	Forward	27+8	9	0	5	2	0	9	0	0
										
ORMONDROYD, Ian 	Forward	19+6	4	0	4	2	0	6+1	0	0
										
PLATT, David 	Midfielder	37	19	1	5	1	0	9	4	2
										
PRICE, Chris 	Full Back	33+1	1	0	4	0	0	8+1	0	0
										
SPINK, Dean 	Forward	0	0	0	0	0	0	0	0	0
										
SPINK, Nigel 	Goalkeeper	38	0	0	5	0	0	8	0	0
										
WILLIAMS, Gareth 	Winger	4+6	0	0	2	0	0	0+1	0	0
										
YORKE, Dwight 	Forward	0+2	0	0	0	0	0	0	0	0
