Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BARNARD, Chris ",Midfielder,1,0,0,0,0,0,0,0,0
,"BAXTER, Bill ",Central Defender,41,1,0,1,0,0,3,0,0
,"BELL, Bobby ",Central Defender,1,0,0,0,0,0,0,0,0
,"BEST, David ",Goalkeeper,40,0,0,1,0,0,3,0,0
,"BROGAN, Frank ",Winger,20,3,0,1,0,0,1,2,2
,"BUGG, Alec ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"CARROLL, Tommy ",Full Back,42,1,1,1,0,0,3,1,0
,"CLARKE, Frank ",Forward,7,2,0,0,0,0,0,0,0
,"COLLARD, Ian ",Midfielder,30,4,0,0,0,0,2,0,0
,"HARPER, Colin ",Full Back,18,0,0,1,0,0,1,0,0
,"HILL, Mick ",Forward,18,4,0,1,0,0,0,0,0
,"HUNT, Bobby ",Forward,5,1,0,0,0,0,2,0,0
,"JEFFERSON, Derek ",Central Defender,24,0,0,0,0,0,2,0,0
,"LAMBERT, Mick ",Winger,18,2,0,0,0,0,2,0,0
,"MCNEIL, Mick ",Full Back,19,1,0,1,0,0,1,0,0
,"MILLER, Johnny ",Winger,1,0,0,0,0,0,0,0,0
,"MILLS, Mick ",Full Back,40,3,0,1,0,0,3,1,0
,"MORRIS, Peter ",Midfielder,31,0,0,1,0,0,1,0,0
,"O'ROURKE, John ",Forward,15,2,0,0,0,0,2,0,0
,"ROBERTSON, Jimmy ",Winger,7,3,0,0,0,0,0,0,0
,"SIVELL, Laurie ",Goalkeeper,1,0,0,0,0,0,0,0,0
,"VILJOEN, Colin ",Midfielder,34,6,3,1,0,0,3,0,0
,"WHYMARK, Trevor ",Forward,8,0,0,0,0,0,0,0,0
,"WIGG, Ron ",Forward,22,4,0,1,0,0,3,0,0
,"WOODS, Charlie ",Forward,39,2,0,1,0,0,3,1,0
,"WOODS, Clive ",Winger,3,0,0,0,0,0,0,0,0
,"WOSAHLO, Roger ",Winger,1,0,0,0,0,0,0,0,0
