Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BAKER, Graham ",Midfielder,36,5,0,2,0,0,2,0,0
,"BAKER, Steve ",Full Back,4,0,0,0,0,0,0,0,0
,"BLAKE, Mark ",Central Defender,6,1,0,1,0,0,1,0,0
,"BOND, Kevin ",Central Defender,39,3,0,1,0,0,2,0,0
,"BURRIDGE, John ",Goalkeeper,31,0,0,2,0,0,1,0,0
,"CASE, Jimmy ",Midfielder,38,0,0,1,0,0,2,0,0
,"CLARKE, Colin ",Forward,40,16,4,2,1,0,2,0,0
,"COCKERILL, Glenn ",Midfielder,39,2,0,1,0,0,3,0,0
,"COOK, Andy ",Full Back,2,0,0,0,0,0,0,0,0
,"DAVIS, Steve ",Central Defender,0,0,0,0,0,0,0,0,0
,"FLOWERS, Tim ",Goalkeeper,9,0,0,0,0,0,2,0,0
,"FORREST, Gerry ",Full Back,37,0,0,2,0,0,3,0,0
,"HOBSON, Gordon ",Forward,13,1,0,1,0,0,2,0,0
,"LE TISSIER, Matthew ",Forward,19,0,0,1,1,0,2,1,0
,"MOORE, Kevin ",Central Defender,35,3,0,2,0,0,3,0,0
,"SHEARER, Alan ",Forward,5,3,0,0,0,0,0,0,0
,"STATHAM, Derek ",Full Back,38,0,0,2,0,0,3,1,0
,"TOWNSEND, Andy ",Midfielder,37,3,0,2,0,0,3,0,0
,"WALLACE, Danny ",Winger,33,11,0,2,0,0,3,0,0
,"WALLACE, Rod ",Forward,15,1,0,0,0,0,1,0,0
